emails,rating,height,bmi,yrs_education,age,days_active
1,0.6125247,71.5,29.56526,14,3,8
3,-0.100942,67.5,27.00137,18,1,74
9,0.2975212,69.5,25.4697,16,3,30
5,-0.0284386,69.5,26.92511,21,1,67
19,0.4072408,69.5,24.01428,21,3,61
0,-0.3510217,75.5,25.28222,14,2,70
2,-0.0468019,71.5,25.43987,16,2,20
3,-0.7681106,65.5,31.95268,17.5,2,108
1,-0.4641442,69.5,22.55887,17.5,1,108
4,0.2387305,69.5,26.92511,12.5,2,43
1,-1.716125,73.5,33.1834,16,3,108
9,-0.3748699,67.5,25.45844,18,3,80
0,-0.5762734,71.5,28.19013,16,2,100
9,-0.5345177,69.5,22.55887,21,2,67
0,0.15852,73.5,29.27947,14.5,1,20
2,-0.0082251,80,22.51797,18,3,16
9,0.6434925,71.5,22.68962,21,1,108
21,0.2555002,69.5,25.4697,12.5,3,108
12,-0.4990408,65.5,25.39829,16,3,108
4,-0.5579828,71.5,28.19013,18,3,108
2,-0.0377665,67.5,22.37256,16,1,82
4,0.5412047,65.5,20.48249,18,1,79
10,0.0526281,65.5,30.31409,12.5,3,29
4,0.0440562,73.5,29.27947,18,2,108
20,-0.0760462,69.5,28.38052,16,2,83
14,0.094209,73.5,24.07423,16,2,108
9,-0.0369245,75.5,25.28222,16,3,108
73,0.2880451,71.5,24.06475,17.5,3,108
36,0.0244387,73.5,26.67685,16,1,82
5,0.9113703,71.5,26.815,17.5,1,80
0,0.0226447,73.5,27.97816,12.5,1,108
5,0.655938,69.5,24.01428,16,2,108
0,-0.4779995,69.5,28.38052,16,3,27
0,0.5435294,67.5,30.08724,16,1,108
2,-1.220836,71.5,24.06475,14.5,3,66
3,-0.3430394,73.5,24.07423,16,2,108
6,-0.3533373,73.5,21.47161,18,2,108
23,0.0892117,69.5,28.38052,18,1,77
3,-0.8155392,69.5,32.74675,16,2,108
35,0.472531,67.5,23.9155,16,3,94
3,-0.097615,73.5,22.77292,18,2,108
3,0.4866196,73.5,21.47161,12.5,3,86
5,0.3953857,73.5,21.47161,12.5,3,22
21,-0.1241485,67.5,27.00137,21,2,34
5,0.3894813,67.5,25.45844,21,2,57
0,0.4194733,65.5,28.67549,21,1,108
25,0.0306887,73.5,24.07423,16,1,108
3,-0.5283059,69.5,26.92511,12.5,2,84
12,0.1067897,69.5,24.01428,16,3,108
16,-0.0135683,73.5,26.67685,12.5,3,108
6,0.0687055,65.5,28.67549,12.5,3,108
7,-0.1010552,73.5,26.67685,16,2,23
4,-0.536688,71.5,22.68962,12.5,3,39
1,-0.4663717,65.5,23.75969,16,1,108
9,0.0049732,65.5,22.12109,16,2,108
6,-0.3939455,69.5,25.4697,12.5,3,69
3,-0.130958,71.5,28.19013,14.5,1,46
0,0.3266676,67.5,23.9155,16,1,8
4,0.5673814,73.5,22.77292,12.5,1,108
3,0.7152482,69.5,24.01428,16,1,108
22,-0.3132141,71.5,33.69064,17,1,108
0,-0.9192173,71.5,26.815,16,3,108
15,-0.709836,69.5,25.4697,16,3,82
6,0.3490057,67.5,23.9155,16,2,108
4,0.1247628,69.5,24.01428,12.5,1,55
9,0.1579452,71.5,25.43987,21,1,108
7,0.0284378,67.5,27.00137,17.5,3,73
61,0.2796291,73.5,25.37554,16,1,78
2,-0.2433718,71.5,24.06475,16,1,108
2,-0.5499476,65.5,22.12109,18,1,69
7,-0.2513156,67.5,25.45844,18,3,108
88,1.48584,69.5,26.92511,18,1,108
20,-0.2302651,71.5,24.06475,16,3,108
5,-0.0391757,69.5,26.92511,12.5,2,60
3,-0.5200545,69.5,26.92511,16,3,108
1,-0.5456718,69.5,26.92511,16,1,108
9,0.5969452,67.5,23.9155,16,1,76
15,-0.2745264,71.5,29.56526,16,2,51
9,-0.3811284,71.5,28.19013,12.5,1,86
0,-0.5088958,69.5,22.55887,21,1,42
2,-0.0196518,67.5,22.37256,12.5,1,93
1,-0.1300151,69.5,26.92511,14,2,108
33,0.253821,69.5,25.4697,14,2,108
3,-0.0139593,69.5,22.55887,17,2,108
2,-0.13991,73.5,22.77292,18,1,18
7,1.011717,71.5,26.815,16,1,8
13,-0.4629705,71.5,26.815,16,3,108
2,-0.0583834,73.5,22.77292,21,3,108
22,0.1729445,69.5,25.4697,17.5,3,88
0,0.7189901,73.5,25.37554,16,3,108
3,0.1321078,73.5,25.37554,12.5,2,108
16,-0.2839601,75.5,28.98206,18,2,108
4,-0.3223793,71.5,22.68962,16,3,11
4,0.8443632,65.5,23.75969,16,3,108
14,-0.2917781,73.5,30.58078,12.5,3,108
5,-0.0134101,71.5,29.56526,12.5,2,46
32,0.6369737,71.5,24.06475,18,2,73
5,0.9478902,69.5,24.01428,16,1,26
0,-0.717086,71.5,26.815,14.5,1,90
12,0.4684177,69.5,25.4697,17,2,108
2,-0.4634764,67.5,23.9155,16,2,108
5,0.4144205,71.5,19.93936,21,2,39
4,-0.3813309,67.5,22.37256,18,1,70
5,-0.2658258,71.5,26.815,18,1,67
16,0.9283713,67.5,27.00137,16,1,108
1,0.2858029,69.5,25.4697,21,1,80
7,-0.7907191,69.5,24.01428,16,3,97
10,-0.5272632,73.5,24.07423,17,1,59
5,-0.4612547,73.5,21.47161,16,2,88
