emails,rating,height,bmi,yrs_education,age,days_active
35,0.7291648,63.5,23.53649,18,2,107
11,0.6442259,63.5,20.0496,16,2,108
15,0.095588,63.5,23.53649,16,2,79
25,0.2763031,63.5,21.79304,14,1,77
6,-0.2832863,63.5,27.02337,17.5,1,108
50,0.7640232,63.5,21.79304,12.5,2,59
7,-0.397388,67.5,20.82963,18,2,6
34,0.7744798,63.5,20.0496,16,1,108
18,-0.0345993,65.5,20.48249,18,3,108
36,-0.048679,65.5,23.75969,16,3,74
47,0.0242075,67.5,20.82963,16,2,108
33,0.3490015,63.5,21.79304,18,1,108
36,-0.4017824,67.5,22.37256,18,1,108
1,-0.5820889,63.5,28.76682,18,1,22
18,0.0930417,63.5,20.0496,16,3,66
62,0.3730404,67.5,20.82963,16,2,55
9,-0.1284473,69.5,22.55887,18,1,7
5,1.166458,67.5,23.9155,18,1,108
2,-0.2470099,65.5,25.39829,12.5,3,108
39,0.3255138,65.5,23.75969,18,2,108
8,0.3731667,65.5,22.12109,18,2,108
11,-0.585903,61,21.72669,21,3,108
20,0.4724493,63.5,21.79304,18,1,25
56,0.4067785,63.5,21.79304,16,1,6
80,0.7152086,67.5,22.37256,18,1,61
3,-0.8578662,61,25.50524,12.5,2,77
35,0.68187,67.5,20.82963,21,2,108
4,0.3667395,65.5,20.48249,17,3,4
36,0.4778426,63.5,18.30616,18,3,9
2,-1.490144,67.5,37.80192,18,2,65
21,-0.4680206,67.5,19.28669,12,3,55
75,0.4168272,69.5,19.64805,16,1,74
65,0.256823,65.5,18.84389,17,1,46
23,0.2819623,67.5,19.28669,18,1,14
2,-0.5478027,65.5,23.75969,18,2,55
56,0.285444,61,23.61596,12.5,1,108
170,1.081448,67.5,20.82963,16,2,108
21,-0.0278822,69.5,21.10346,18,2,40
0,-0.7867516,63.5,25.27993,16,1,108
40,0.6883273,61,21.72669,16,3,108
5,-0.8973593,65.5,20.48249,17.5,1,108
47,-0.0145639,65.5,22.12109,17.5,3,89
186,0.3898928,65.5,20.48249,16,1,93
17,0.4382356,67.5,20.82963,17.5,1,108
78,0.1926508,63.5,16.56271,16,2,47
55,1.029648,65.5,20.48249,16,1,72
16,-0.1110437,67.5,19.28669,16,3,54
19,-0.704228,63.5,23.53649,18,3,53
44,-0.3030651,61,19.83741,18,3,108
4,-0.8488826,63.5,21.79304,16,3,108
95,0.1782461,65.5,22.12109,12.5,3,85
54,0.7736416,61,21.72669,21,2,18
17,-0.0303217,65.5,31.95268,16,3,59
27,-0.2061451,67.5,20.82963,16,3,46
8,-0.5032972,67.5,27.00137,17,1,108
2,-0.6040598,67.5,22.37256,18,2,108
22,-0.4792309,65.5,23.75969,16,2,108
31,0.3555939,63.5,20.0496,16,3,5
15,0.173199,69.5,21.10346,16,2,103
44,0.7871953,61,19.83741,21,2,60
27,1.183952,63.5,21.79304,18,1,55
34,0.6655107,67.5,25.45844,16,3,108
4,-1.015475,65.5,25.39829,16,2,108
5,-1.23252,65.5,28.67549,16,2,60
11,0.8726147,65.5,23.75969,12.5,2,81
24,0.5654905,67.5,27.00137,15,1,28
1,-0.7369393,71.5,22.68962,16,3,44
3,-0.6343017,63.5,33.99715,12.5,2,81
82,0.319752,65.5,20.48249,14,2,95
4,-0.1980695,65.5,28.67549,12,2,53
17,-0.2016328,65.5,20.48249,18,3,108
20,0.3699139,65.5,22.12109,18,1,81
4,0.4391052,59,17.16604,18,2,108
76,1.276173,67.5,19.28669,16,1,70
26,-0.4634045,63.5,18.30616,12.5,2,38
15,-0.3082401,65.5,22.12109,18,1,88
10,-0.164048,65.5,22.12109,16,3,64
12,-0.1814165,61,17.94813,16,2,108
8,0.6054944,67.5,20.82963,12.5,3,108
10,-0.3332475,61,19.83741,18,3,108
5,-0.4407727,63.5,23.53649,18,3,25
5,0.2204876,63.5,21.79304,17.5,3,108
10,-0.4195161,63.5,27.02337,16,2,29
29,-0.3794138,63.5,21.79304,18,3,72
8,-0.4005833,67.5,22.37256,16,3,45
1,0.055701,65.5,23.75969,16,2,91
52,-0.0217566,61,27.39452,17.5,2,108
14,0.3437572,63.5,25.27993,18,1,23
110,0.0913616,61,19.83741,18,2,108
22,-0.3085773,67.5,19.28669,14,1,65
28,0.8616017,69.5,19.64805,16,3,108
53,-0.3771788,67.5,22.37256,16,3,48
18,-0.5793106,69.5,21.10346,18,3,55
0,-0.7228503,61,34.95163,14,2,108
52,-0.1718664,63.5,25.27993,18,1,108
4,-0.4572118,65.5,22.12109,12.5,3,23
7,0.0040683,69.5,19.64805,18,2,61
178,0.8071,69.5,19.64805,16,1,93
58,0.3444594,65.5,22.12109,16,1,108
2,0.4963807,71.5,21.31449,21,2,3
28,0.4094218,65.5,20.48249,18,2,108
18,-0.0895871,65.5,18.84389,18,1,28
49,0.6038681,65.5,20.48249,17,2,108
9,-0.3457027,67.5,25.45844,17,3,18
11,0.1374524,67.5,22.37256,12.5,2,108
17,0.1441735,65.5,22.12109,21,3,108
60,0.5308518,61,50.06584,16,1,31
102,-0.5002331,61,19.83741,18,1,108
3,-0.9420843,63.5,37.48404,10,2,9
2,-0.062648,67.5,30.08724,16,1,24
5,-0.0143805,63.5,25.27993,18,3,108
17,0.591018,65.5,20.48249,17,1,42
45,0.8281113,69.5,19.64805,16,1,4
28,0.4120356,69.5,24.01428,17,1,108
65,0.3189158,63.5,18.30616,18,1,108
4,0.3142798,63.5,25.27993,8,3,108
3,0.2715762,65.5,20.48249,16,3,108
20,0.4092078,67.5,25.45844,18,1,108
5,-0.291296,67.5,25.45844,17,3,69
7,-0.5666885,67.5,25.45844,16,1,108
17,0.1941396,65.5,20.48249,16,2,45
5,-0.6158366,61,21.72669,12.5,1,108
32,0.9394917,69.5,19.64805,17.5,2,44
22,0.6762007,61,21.72669,16,2,59
7,-0.7760332,63.5,28.76682,12.5,3,30
0,-0.2970786,69.5,21.10346,18,3,108
4,-0.5032195,67.5,36.25898,12,3,47
4,-0.3022755,65.5,25.39829,18,3,31
2,-0.4664292,63.5,23.53649,17.5,2,108
26,0.1592131,69.5,19.64805,16,1,108
93,0.1584852,65.5,18.84389,16,2,75
22,0.2390596,63.5,20.0496,17.5,3,90
13,-0.7925507,61,23.61596,18,1,28
9,-0.9336109,61,23.61596,16,1,108
10,0.0710757,67.5,19.28669,16,2,47
10,-0.3040191,65.5,25.39829,18,1,30
49,0.3849832,67.5,20.82963,16,1,108
19,-0.2809046,61,19.83741,16,1,108
11,-1.101522,67.5,20.82963,18,3,95
23,0.0922867,63.5,23.53649,16,1,61
29,0.1758646,61,19.83741,16,2,108
4,-0.820622,65.5,22.12109,18,2,20
32,0.2452414,67.5,20.82963,18,2,72
28,0.9956445,67.5,27.00137,12.5,1,12
4,-0.8840181,65.5,20.48249,16,1,62
10,-0.4989535,61,23.61596,12.5,3,108
42,-0.2964036,63.5,20.0496,12.5,2,39
46,0.1849054,65.5,20.48249,16,3,108
6,-0.4998502,67.5,19.28669,12.5,3,5
5,1.961123,63.5,18.30616,18,1,8
13,-0.3704741,65.5,28.67549,12,2,108
9,-0.5529785,65.5,20.48249,18,3,93
9,0.1271599,69.5,21.10346,12.5,1,28
16,-0.1461345,69.5,21.10346,12.5,1,18
14,-0.3588165,63.5,21.79304,16,3,18
9,0.411349,61,34.95163,12,2,72
0,0.3122298,65.5,27.03689,12.5,2,16
29,-0.4496686,69.5,22.55887,12.5,3,75
104,0.8687875,67.5,20.82963,8,2,64
17,-0.5410386,67.5,19.28669,17,2,108
17,0.463932,65.5,25.39829,17.5,2,31
7,-1.099179,65.5,27.03689,16,3,15
0,-0.9287367,61,33.06235,16,3,91
20,-0.2404517,63.5,21.79304,16,3,23
14,0.1087144,63.5,27.02337,12,2,55
8,-0.1940684,65.5,27.03689,18,2,108
65,-0.0846776,67.5,19.28669,16,3,61
21,0.3033822,69.5,21.10346,16,2,108
27,0.2174692,61,19.83741,16,2,108
95,-0.8129073,65.5,18.84389,12,3,63
19,-0.1992786,65.5,18.84389,18,3,108
16,-0.2116551,65.5,25.39829,18,2,108
13,0.1824371,65.5,22.12109,13,2,108
0,-0.6298407,67.5,25.45844,17.5,3,61
3,-0.31405,61,27.39452,16,2,30
46,0.7108939,67.5,20.82963,16,1,30
8,-0.4242275,65.5,20.48249,12.5,3,108
11,0.2886676,63.5,23.53649,21,3,108
40,0.098438,61,23.61596,16,1,42
15,0.0324313,61,19.83741,18,3,108
4,-0.1039702,65.5,23.75969,16,2,9
5,-0.6043185,63.5,23.53649,8,3,70
11,0.0682766,67.5,17.74376,16,2,83
23,-1.000815,63.5,27.02337,12.5,3,108
47,1.178233,65.5,18.84389,16,2,108
99,1.090716,61,19.83741,21,1,76
5,-0.0521673,65.5,22.12109,16,3,77
10,0.3305362,63.5,21.79304,16,3,39
16,0.3333864,65.5,20.48249,18,2,108
22,0.3705434,67.5,23.9155,16,3,108
32,0.5413226,69.5,19.64805,16,3,35
48,0.4744425,67.5,20.82963,8,1,108
65,0.6159555,63.5,21.79304,18,1,108
22,0.0151779,61,29.28379,17.5,3,81
48,0.9874125,69.5,21.10346,16,2,108
13,-0.3158884,61,25.50524,12.5,2,108
3,-0.320014,65.5,28.67549,21,3,28
5,-0.9480063,67.5,20.82963,16,3,108
8,0.3748384,63.5,25.27993,16,3,43
100,1.059532,63.5,18.30616,18,1,59
1,-0.0236581,65.5,30.31409,12.5,2,61
15,-0.1031892,61,25.50524,12.5,3,40
2,0.2710285,65.5,22.12109,18,3,7
86,0.8595077,65.5,18.84389,12,3,108
37,-0.2745452,65.5,20.48249,12.5,2,99
9,-0.5624931,61,21.72669,16,2,108
17,-1.24746,61,25.50524,18,3,108
3,-0.2543207,63.5,23.53649,18,1,11
9,0.4383804,61,23.61596,18,3,108
80,1.102831,69.5,19.64805,16,2,49
8,-0.7654316,67.5,27.00137,16,2,82
9,-0.7574978,65.5,28.67549,16,3,108
23,-0.5236718,61,29.28379,16,3,92
13,0.5015828,65.5,25.39829,16,3,39
25,0.1377069,65.5,28.67549,18,1,108
45,-0.1771586,61,23.61596,12.5,3,108
91,1.469468,61,19.83741,16,2,108
63,1.121223,65.5,22.12109,14,1,108
10,-0.460865,69.5,21.10346,12,1,67
2,-0.5220547,69.5,22.55887,16,3,25
6,1.747682,63.5,23.53649,16,1,3
81,0.3101929,67.5,20.82963,18,2,98
15,-0.4407039,61,25.50524,16,1,89
1,-0.3321169,61,21.72669,16,1,3
24,0.4573144,65.5,22.12109,16,2,108
19,-0.0663652,63.5,25.27993,12.5,1,58
2,-0.2144501,63.5,18.30616,18,2,108
24,0.511351,65.5,22.12109,16,1,73
27,-0.1430766,63.5,23.53649,12.5,2,108
30,0.9753779,67.5,19.28669,17.5,1,67
11,-0.233475,63.5,18.30616,21,3,108
2,-0.2989516,61,23.61596,18,2,21
12,-0.552048,63.5,23.53649,18,3,108
32,-0.861046,63.5,23.53649,16,2,108
14,-0.6801075,61,19.83741,18,3,58
2,-0.8076969,67.5,27.00137,16,2,67
21,0.152641,61,19.83741,12.5,3,60
3,-0.7450994,61,33.06235,8,2,92
52,0.1498426,65.5,22.12109,16,3,108
56,0.5083387,63.5,27.02337,17.5,1,83
13,-0.5602314,69.5,19.64805,16,1,108
24,-0.5301586,69.5,21.10346,16,3,71
31,0.3117459,71.5,21.31449,12.5,1,104
59,0.7085791,61,21.72669,12.5,2,99
27,0.4200003,63.5,25.27993,18,1,67
